pubResumen,pubNumOficio,pubFechaPubli
"Tratamiento tributario de utilidades financieras capitalizadas o no, que puedan existir en una sociedad extranjera, absorbida por una sociedad domiciliada en Chile.",2895,26/11/2019
"Solicita confirmar criterios sobre efectos por fusión transfronteriza, con empresa absorbente situada en Chile y acogida al régimen de la letra B) del artículo 14 de la LIR.",2877,22/11/2019
Información solicitada sobre importación de medicamentos.,2805,12/11/2019
Efectos tributarios por la implementación del tope imponible de 60 UF a funcionarios de XXXXX.,2804,12/11/2019
"Situación tributaria de un plan individual de ahorro previsional y de un seguro de renta vitalicia, ambos contratados en el extranjero, así como de la transferencia a Chile de fondos provenientes del exterior; respecto de un contribuyente que constituye domicilio en el país.",2803,12/11/2019
"Tasa de impuesto aplicable en virtud del Convenio suscrito entre Chile y Argentina y procedencia del crédito por impuestos pagados en el extranjero, en el caso de servicios de asesoría y soporte prestados por una sociedad chilena a una empresa argentina.",2802,12/11/2019
"Rentas de fuente chilena gravadas en el extranjero y su inclusión en la determinación de la Renta Neta de Fuente Extranjera, establecida en los artículos 41 A y 41 C de la Ley sobre Impuesto a la Renta.",2801,12/11/2019
"Crédito por impuestos pagados en el extranjero, de acuerdo a lo dispuesto en la letra C.-, del artículo 41 A o en el artículo 41 C, ambos de la Ley sobre Impuesto a la Renta.",2800,12/11/2019
Tratamiento tributario que afecta a los instrumentos financieros ofrecidos por un banco extranjero denominados Certificados Estratégicos.,2781,08/11/2019
Situación de los asociados y del gestor de un Contrato de Joint Venture o Asociación o Cuentas en Participación.,2780,08/11/2019
Complementa pronunciamiento sobre exenciones tributarias que indica.,2752,05/11/2019
"Solicita confirmar que la reorganización que expone y que proyecta llevar a cabo obedece a una “legítima razón de negocios”, de manera que, de cumplirse los demás requisitos que establece la ley, no sería procedente el ejercicio de la facultad de tasación por parte del Servicio de Impuestos Internos.",2734,28/10/2019
Tratamiento tributario que corresponde aplicar a los retiros de excedente de libre disposición que indica.,2713,25/10/2019
"Tratamiento tributario de la permuta de sepulturas de uso perpetuo efectuada por sus propietarios, vale decir del acuerdo de cada uno de entregar su propiedad para recibir a cambio la propiedad del otro.",2671,22/10/2019
"Cómo declarar renta generada en Francia, de ciudadano español expatriado en Chile con menos de 3 años de residencia en el país.",2670,22/10/2019
Impuesto Adicional aplicable a servicios prestados por una universidad extranjera a una universidad chilena.,2628,16/10/2019
Situación tributaria de instrumentos híbridos emitidos conforme al artículo 55 bis de la Ley General de Bancos. ,2627,16/10/2019
"Fusión por incorporación de una sociedad anónima cerrada constituida en Chile, que absorbe a una sociedad extranjera, que tiene una agencia en Chile, sujeta al régimen de tributación parcialmente integrado de acuerdo al artículo 14 letra B) de la LIR.",2626,16/10/2019
Crédito por impuestos pagados en el extranjero en caso de dividendos.,2625,16/10/2019
"Consulta sobre la restitución del crédito de Impuesto de Primera Categoría (IDPC) dispuesta en el inciso cuarto del N° 4 del artículo 74 de la Ley sobre Impuesto a la Renta (LIR), en el caso de dividendos provisorios distribuidos el año 2012, antes de la vigencia de la ley N° 20.630.",2466,27/09/2019
Crédito por rentas de fuente extranjera y fecha de aplicación de paridad cambiaria.,2465,27/09/2019
"Deducción como gasto tributario de la Garantía por cierre de faenas mineras, establecida en la Ley N° 20.551, constituida por una sociedad que se divide.",2453,27/09/2019
Tratamiento tributario de las remuneraciones percibidas por los trabajadores de artes y espectáculos regulados en los artículos 145-A y siguientes del Código del Trabajo.,2316,06/09/2019
"Intereses por mora y comisión fija por recuperación, establecidos en las Ley N° 19.983, por modificación introducida por la Ley N° 21.131.",2270,30/08/2019
Exención de Impuesto Adicional por pago de intereses de créditos o préstamos otorgados a empresas chilenas por instituciones que indica.,2254,30/08/2019
"Solicita complementar Oficio Ord. N° 1.510 de 19-05-2019, del SII. Modificaciones introducidas a la Ley 19.983 por la Ley N° 21.131 que establece pago a treinta días.
",2245,30/08/2019
Reinversión de utilidades por cesión de un derecho personal originalmente entre la sociedad fuente y la sociedad receptora de la inversión.,2243,29/08/2019
"Límite del artículo 31, N° 12, de la LIR, aplicable al pago de regalías en relación con lo dispuesto en el artículo 23(4) del Convenio entre la República de Chile y la Confederación Suiza para Evitar la Doble Imposición con Relación a los Impuestos a la Renta y al Patrimonio suscrito.",2192,23/08/2019
"Tributación de ingresos percibidos por una Junta de Vigilancia, en virtud de una Resolución de Calificación Ambiental. ",2184,23/08/2019
"Derecho a crédito del artículo 33 bis de la LIR, por adquisición de camioneta cabina simple 4x4.",2182,22/08/2019
Ajuste al monto de la garantía para asegurar el cumplimiento del plan de cierre de las faenas e instalaciones mineras que debe otorgarse en conformidad con la Ley N° 20.551.,57,14/08/2019
"Crédito Fomento Forestal establecido por el D.L. N° 2565 de 1979, por rentas provenientes de contribuyentes acogidos al artículo 14 letra A) de LIR.
",2096,09/08/2019
"Tributación del mayor valor obtenido en la enajenación de una marca.
",2095,09/08/2019
Crédito del artículo 33 bis de la Ley sobre Impuesto a la Renta.,2093,09/08/2019
"Consulta sobre los requisitos para acceder a la tasa especial variable del impuesto sustitutivo, establecido en la letra e) del artículo primero de las disposiciones transitorias de la Ley N°20.899.",2014,31/07/2019
Solicita pronunciamiento sobre exenciones tributarias que indica.,1990,26/07/2019
"Alcance de la exención contemplada en la Ley N° 18.156, sobre cotizaciones previsionales de técnicos extranjeros. ",1983,26/07/2019
"Solicita un pronunciamiento respecto del plazo establecido en el inciso quinto de la letra C.- del artículo 14 ter de la Ley sobre Impuesto a la Renta (LIR), sobre Incentivo al Ahorro para Medianas Empresas. ",1981,26/07/2019
Fusión por incorporación de una sociedad anónima cerrada constituida en Chile que absorbe a una sociedad extranjera con una agencia en Chile.,1690,21/06/2019
"Enajenación de un inmueble que integra el patrimonio personal de un empresario individual acogido al régimen de la letra A), del artículo 14 de la LIR.",1688,21/06/2019
"Implicancias tributarias que genera la adquisición del 100% de una Sociedad por Acciones (SpA) con el propósito de adquirir por esta vía unas concesiones acuícolas que figuran en el patrimonio de dicha sociedad por acciones, y la posterior liquidación de la misma.",1681,20/06/2019
"Aclaración del criterio establecido en el Oficio Ord. N°2288, de fecha 31.10.2018. ",1645,14/06/2019
"Consulta por el tratamiento tributario que corresponde aplicar respecto de las operaciones de compraventa de derechos sociales, cuando se efectúa en un valor notoriamente inferior al capital propio proporcional.",1593,07/06/2019
Tributación a la actividad de compra de cupo de dólares.,1592,07/06/2019
"Recuperación de los peajes pagados por empresas de transporte público de pasajeros, conforme al artículo 1°, de la Ley N° 19.764.",1591,07/06/2019
"Tratamiento tributario del mayor valor obtenido en la enajenación de bienes raíces no agrícolas, efectuada por un empresario individual acogido al régimen de la letra B), del artículo 14 de la LIR.",1590,07/06/2019
Beneficios tributarios relacionados con actos culturales.,1561,05/06/2019
Tributación de remesa efectuada en virtud de una modificación a contrato de licencia.,1523,03/06/2019
"Procedencia del Crédito por Impuestos pagados en el Extranjero, en el caso de una sociedad de profesionales que tributa conforme al 42 N° 2 de la LIR.  ",1522,03/06/2019
"Modificaciones introducidas a la Ley N° 19.983 por la Ley N° 21.131, que establece pago a treinta días.",1510,29/05/2019
Aplicación del artículo 31 N° 7 de la Ley sobre Impuesto a la Renta a las donaciones efectuadas por empresas del rubro agrícola a una Fundación constituida en Chile.,1497,29/05/2019
"Efectos tributarios de un aporte de derechos de una sociedad domiciliada en el extranjero a otra sociedad también externa, efectuado dentro de un mismo grupo económico, respecto de lo establecido en el inciso final del artículo 10 de la Ley sobre Impuesto a la Renta.",1394,17/05/2019
"Efectos tributarios de la venta de bienes raíces no agrícolas y de los dividendos de acciones de sociedades anónimas extranjeras, pertenecientes a un empresario individual, cuando mantiene estos bienes en su patrimonio personal.

",1377,16/05/2019
Si dividendos exentos de IGC con derecho a crédito por Impuesto de Primera Categoría deben ser registrados en el FUT o FUNT.,1376,16/05/2019
"Consultas en relación con la ley sobre administración de fondos de terceros y carteras individuales, conocida como Ley Única de Fondos (LUF), contenida en el artículo 1° de la Ley N°20.712, vigente a contar del 1° de enero de 2017.",1375,16/05/2019
"Tratamiento tributario de las remuneraciones pagadas por una sociedad educacional subvencionada, al cónyuge de una de sus socias y a uno de sus socios, haciendo presente que la función que éstos ejercen guarda directa relación con la función docente del establecimiento educacional",1374,16/05/2019
Normas aplicables en la enajenación de un bien raíz adquirido antes del 1° de enero de 2004. ,1373,16/05/2019
"Reconocimiento de los ingresos derivados de servicios de conservación, reparación y explotación de una obra pública fiscal, según el inciso 8° y siguientes del artículo 15 y el inciso 5° del artículo 29, ambos de la LIR.",1372,16/05/2019
"Tributación de una empresa que efectúa compra y venta, envíos y depósitos de Criptomonedas.
",1371,16/05/2019
"Deducción como gasto tributario, del pago de indemnizaciones legales por años de servicios, correspondientes a trabajadores que han sido traspasados de una sociedad a otra, dentro del mismo grupo económico.",1370,16/05/2019
"Aplicación del artículo 21 de la LIR, al pago de multas al Fisco de países extranjeros. 
",1369,16/05/2019
"Tratamiento tributario de Excedentes de Libre Disposición (ELD) compuestos por ahorros traspasados desde Cuenta de Ahorro Voluntario (CAV).
",1368,16/05/2019
"Sobre procedencia de deducir como gasto necesario para producir la renta de desembolsos efectuados en pago de estudios de perfeccionamiento profesional incurridos por un contribuyente de la Segunda Categoría.
",1185,30/04/2019
"Crédito por Impuesto Territorial establecido en la letra c) del N° 1, del artículo 20 de la Ley sobre Impuesto a la Renta, en el caso en que, entre la fecha de la recepción definitiva de las obras de edificación, y la venta del inmueble, el bien inmueble es arrendado mientras se concreta su venta final.",1184,30/04/2019
"Procedencia del crédito por Impuesto Territorial, establecido en la letra c) del artículo 20 de la LIR, en el caso que indica.",1183,30/04/2019
Derecho a usar como crédito contra el Impuesto de Primera Categoría el Impuesto Territorial pagado en el caso que indica.,1182,30/04/2019
"Aplicación del Convenio entre Reino de España y la República de Chile para evitar la doble tributación (CDTI) y análisis del sistema bilateral de créditos, artículo 41 C de la LIR.",1097,23/04/2019
"Situación tributaria del mayor valor obtenido por dos personas naturales de nacionalidad argentina, domiciliados o residentes en Chile, en la enajenación efectuada de un bien raíz situado en ese país, adquirido con ingresos de fuente externa.",1096,23/04/2019
"Tratamiento tributario de las compensaciones por la indisponibilidad del suministro eléctrico que deben efectuar las empresas de distribución de energía eléctrica a sus usuarios.
",1095,23/04/2019
Consultas relacionadas a la tributación de los activos digitales o Criptomonedas.,36,23/04/2019
Tasa de Impuesto Adicional aplicable a los intereses pagados a un vehículo de inversión colectiva de Corea del Sur.,1052,17/04/2019
"Determinación de la retención establecida en el artículo 74 N° 4, de la Ley sobre Impuesto a la Renta, respecto de la distribución de dividendos a accionistas no residentes ni domiciliados en Chile, realizada por una sociedad sometida al régimen establecido en la letra B) del artículo 14, del mismo texto legal.",1051,17/04/2019
Mayor valor obtenido en venta de un bien raíz recibido en herencia.,1050,17/04/2019
"Consecuencias tributarias derivadas de la donación revocable de derechos sociales, en el ámbito de la Ley sobre Impuesto a la Renta (en adelante “LIR”) y Ley N° 16.271 sobre Impuesto a las Herencias, Asignaciones y Donaciones.",1049,17/04/2019
"Pronunciamiento por uso de crédito contra Impuesto a la Renta AT 2017, por Impuesto a la Renta pagado en Colombia   ",1045,17/04/2019
Solicita pronunciamiento respecto al alcance del concepto prestación de servicios de alojamiento.,1034,15/04/2019
"Aplicación del régimen contemplado en la letra b), del N° 8, del artículo 17 de la LIR.",1025,12/04/2019
Solicita confirmar criterio y alcance de tributación aplicable a retiro y reinversión de utilidades en caso que indica.,983,08/04/2019
"Tributación del mayor o menor valor que se produce en la adquisición de bonos emitidos por una empresa extranjera, por un contribuyente de IDPC que determina renta efectiva según contabilidad completa.",967,04/04/2019
"Aplicación de la disposición establecida en el literal iii.- del inciso 3° del artículo 21 de la Ley sobre Impuesto a la Renta (LIR), en el caso de inmueble de propiedad de una sociedad en la que la recurrente y su ex marido (padre de sus hijos) son socios. ",834,25/03/2019
"Efectos tributarios del pago que un empleador efectúa a ex ejecutivo que cuenta con información privilegiada de la empresa, con motivo de su desvinculación, como gasto del artículo 31 de la LIR.",833,25/03/2019
"Consulta sobre determinación Tasa de Pagos Provisionales Mensuales Obligatorios (PPMO) del artículo 84 letra a) de la Ley sobre Impuesto a la Renta (LIR), cuando dentro de la Renta Líquida Imponible de Primera Categoría se incorporan rentas de fuente extranjera con derecho a crédito.",805,20/03/2019
Beneficio tributario establecido en el artículo 1° Bis de la Ley N° 19.885 (Donaciones con fines sociales).,804,20/03/2019
Posibilidad de ceder a terceros el uso de ciertos espacios de inmuebles cuya adquisición o construcción fue financiada con donaciones acogidas al artículo 69 de la Ley N°18.681.,685,05/03/2019
"Efectos tributarios de la fusión de dos sociedades acogidas al régimen establecido en el artículo 14, letra B) de la Ley sobre Impuesto a la Renta (LIR) efectuada en el año 2017.",617,25/02/2019
"Solicita un pronunciamiento sobre considerar como un único bien una generadora eléctrica, para su depreciación, y sobre los años de vida útil a considerar para dicho efecto, en atención a que Resolución Exenta N° 43 de 2002, no contemplaría expresamente este tipo de bienes.",593,21/02/2019
"Consulta sobre fusión por incorporación en que la absorbida emite y recibe facturas con posterioridad a la fusión, además de presentar declaraciones de impuestos por dichas operaciones.",516,08/02/2019
Tratamiento tributario de financiamiento obtenido a través de un “crowdfunding”.,514,08/02/2019
"Compensación entre deudas tributarias y devolución a que tienen derecho tenedores de instrumentos de deuda de oferta pública, no contribuyentes de Impuesto a la Renta.",506,08/02/2019
"Retención y entero en arcas fiscales del Impuesto Único de Segunda Categoría por la Dirección de Contabilidad y Finanzas del XXXX, por cuenta del contratista.",505,08/02/2019
Transformación de Institutos Profesionales y Centros de Formación Técnica en personas sin fines de lucro.,504,08/02/2019
"Situación de aporte de acciones de sociedad anónima, a otra compañía, en relación a lo establecido en el artículo 64 del Código Tributario (Legítima razón de negocios).",478,07/02/2019
"Límite de 4% de los ingresos por ventas o servicios del giro en el respectivo ejercicio, contenido en el artículo 31 N°12, de la LIR.",477,07/02/2019
Aplicación del Convenio entre Chile y España a extranjero que ingresa al país.,476,07/02/2019
Impuesto a que están afectas las dietas que perciben los Concejales.,475,07/02/2019
"Aplicación del artículo 14, del Decreto Ley N° 1604 de 1976, a una fundación creada por una Universidad.",472,07/02/2019
Certificado de situación tributaria para efectos de convenio para evitar la doble imposición,454,06/02/2019
Crédito por gastos de capacitación cuando los aportes convenidos con un OTIC son enterados por empresas holding.,407,31/01/2019
Aplicación del Impuesto Adicional a los pagos efectuados al extranjero por la adquisición de gift cards virtuales.,406,31/01/2019
"Confirmación de criterio de Oficios N°s. 3492 de 2000 y 385 de 2014, en el sentido que empresario individual que retira bien inmueble de su contabilidad, sólo genera efecto tributario respecto del valor en que se aportó y retiró el bien, el cual debe ser equivalente a su valor tributario.",404,31/01/2019
"Normas de relación contenidas en los incisos 2° y 4° del anterior texto del número 8 del artículo 17 de la Ley sobre Impuesto a la Renta, vigentes al 31-12-2014.
",402,31/01/2019
Consulta sobre la aplicación del artículo 41 G de la LIR.,401,31/01/2019
"Cálculo de la tasa promedio de IGC contenida en el N°3, del artículo 38 bis de la LIR, aplicable en el término de giro.",243,17/01/2019
"Aplicación del artículo 41 G de la Ley sobre Impuesto a la Renta, a situación societaria que indica. ",236,16/01/2019
"Solicita pronunciamiento sobre diferencia de interpretación de imputación del crédito por impuestos pagados en el extranjero, la parte no imputada al impuesto de Primera Categoría, de acuerdo a lo establecido en los artículos 41 A y 41 C y artículo 38 bis de la Ley sobre Impuesto a la Renta.",150,11/01/2019
"Contrato de asociación o cuentas en participación e instrucciones que a su respecto se impartieron mediante la Circular N° 29 de 1999 y el Oficio N° 1.483 de 2015, atendida la Reforma Tributaria.",149,11/01/2019
"Consulta si una persona natural chilena radicada en Suiza que invierte en bienes raíces ubicados en Chile, adquiere domicilio en Chile.",026,07/01/2019
Tratamiento tributario de las remuneraciones pagadas a un profesional médico que realiza un programa de especialización y formación profesional en un establecimiento de salud público.,025,07/01/2019
"Incidencia de las normas de relación, contenidas en el anterior texto del artículo 41 de la LIR, y letra b), del artículo 1° transitorio de la Ley N°20.630, respecto de la cesión de derechos de una sociedad a un Fondo de Inversión Privado.",24,07/01/2019
Rebaja como gasto necesario para producir la renta del sueldo empresarial.,2717,23/11/2020
"Determinación del costo directo de la producción fruta, de acuerdo al artículo 30 de la Ley Sobre Impuesto a la Renta.",2714,23/11/2020
Régimen tributario al que se encuentran sujetas las corporaciones o fundaciones.,2704,23/11/2020
Tratamiento de gastos asociados al teletrabajo.,2701,23/11/2020
Solicita reconsideración de Oficio N° 997 de 2020 por las razones que indica,2700,23/11/2020
Aplicación del crédito establecido en el N° 4 del artículo 56 de la Ley sobre Impuesto a la Renta a usuarios de Zona Franca.,2697,23/11/2020
Acreditación de gastos mediante respaldos digitalizados de los comprobantes.,2696,23/11/2020
Consulta sobre la tributación de la enajenación de una concesión de explotación minera.,2659,19/11/2020
Solicita pronunciamiento sobre la resciliación de una compraventa de inmueble inscrito.,2658,19/11/2020
"Consulta sobre exención de impuestos establecida en el artículo 57, inciso segundo, de la Ley sobre Impuesto a la Renta.",2657,19/11/2020
Adquisición de un software como aporte de capital.,2656,19/11/2020
"Suspensión de pagos provisionales mensuales conforme al artículo 90 de la Ley sobre Impuesto a la Renta en relación con el pago del impuesto de primera categoría sobre retiros, contenida en el artículo 14.",2655,19/11/2020
Opción de depreciación establecida en el artículo 31 N° 5 y 5 bis de la Ley sobre Impuesto a la Renta.,2652,19/11/2020
Impuesto a la renta en caso de discapacitados.,2651,19/11/2020
Retiros en exceso existentes en una sociedad de personas absorbida por otra sociedad de la misma naturaleza jurídica.,2650,19/11/2020
Tratamiento tributario de anticipos de indemnización por años de servicio pactados en contratos individuales de trabajo.,2649,19/11/2020
Crédito establecido en artículo 33 bis de la Ley sobre Impuesto a la Renta en la adquisición de motores de reemplazo para helicópteros del activo inmovilizado.,2648,19/11/2020
Determinación de la renta presunta afecta al impuesto de Primera Categoría en el caso de contribuyente que toma en arriendo y explota solo una parte de un bien raíz.,2647,19/11/2020
"Aplicación del numeral XVI, del artículo tercero transitorio, de la Ley N° 20.780, a la resciliación de un contrato de compraventa de un inmueble.",2646,19/11/2020
Tratamiento tributario de la destrucción voluntaria de alimentos aptos para el consumo humano y en condiciones de ser entregados gratuitamente.,2630,18/11/2020
Aplicación del artículo 21 de la Ley sobre Impuesto a la Renta en la “autodestrucción” de bienes aptos para el uso y consumo que no sean donados.,2629,18/11/2020
"Arrendamiento de viviendas económicas acogidas al Decreto con Fuerza de Ley N° 2 de 1959, adquiridas hasta el 31.10.2010, y u traspaso.
",2625,18/11/2020
Empresa del Estado que percibe dividendos correspondientes a utilidades que pagaron el impuesto sustitutivo al FUT del artículo vigésimo quinto transitorio de la Ley Nº 21.210.,2592,13/11/2020
Efectos tributarios del incumplimiento de proyectos culturales con motivo de la pandemia del coronavirus.,2591,13/11/2020
"Régimen especial de depreciación establecido en el artículo 31, N° 5 bis, de la Ley sobre Impuesto a la Renta.",2583,13/11/2020
Aplicación de normas tributarias a modificación societaria que indica.,2496,06/11/2020
Consulta sobre plazo de cuatro años para enajenar inmueble en el caso de una subdivisión de terrenos.,2495,06/11/2020
Venta de bienes raíces adquiridos como compensación económica.,2354,22/10/2020
Tratamiento tributario de los gastos por intereses y reajustes pagados o adeudados en obligaciones de una sociedad anónima.,2288,15/10/2020
Impuesto Territorial a rebajar como crédito del monto del Impuesto de Primera Categoría en el caso de una sociedad inmobiliaria.,2286,15/10/2020
Condonación de deudas efectuadas en favor de una organización comunitaria funcional.,2285,15/10/2020
"Efectos tributarios de la disolución y liquidación de una sociedad anónima.

",2146,29/09/2020
"Ingresos devengados o percibidos por bancos, con ocasión del no pago de créditos hipotecarios.",2144,29/09/2020
Determinación del costo tributario de una vivienda que será construida por un particular sobre un terreno de su propiedad,2143,29/09/2020
Gastos provenientes de pagos a empresas no registradas en el régimen simplificado para prestadores de servicios extranjeros.,2142,29/09/2020
"Ley N° 19.622, que permite deducir los dividendos hipotecarios de la base imponible del impuesto a la renta.",2140,29/09/2020
Consulta tratamiento de bono por gastos de teletrabajo.,2139,29/09/2020
Solicita confirmar criterio sobre tributación de disminuciones de capital de empresa domiciliada en el extranjero.,2138,29/09/2020
Castigo de activos intangibles y rectificación de declaraciones anuales a la renta. ,2136,29/09/2020
Alcance del concepto “actividad cultural” y determinación de la base imponible del Impuesto Adicional.,2134,29/09/2020
"Tasación del valor comercial de un inmueble conforme al numeral XVI, del artículo tercero transitorio, de la Ley N° 20.780.",2132,29/09/2020
Solicita pronunciamiento sobre posibilidad de optar por el régimen de la letra A) del artículo 14 de la Ley sobre Impuesto a la Renta.,2126,28/09/2020
Aplicación de las disposiciones tributarias contenidas en la Ley Nº 20.993 en la enajenación de inmueble que indica.,2030,16/09/2020
Facultad de revisar el cálculo del capital propio que los contribuyentes declaran a este Servicio para los efectos de las patentes municipales.,2018,15/09/2020
Proporcionalidad del uso del crédito fiscal IVA respecto de intereses moratorios por atraso en pago de facturas y de la comisión del 1% asociada al atraso del deudor en el pago de la factura.,2011,14/09/2020
Crédito por Impuesto Territorial de la letra c) del artículo 20 de la Ley sobre Impuesto a la Renta en caso que indica.,1988,10/09/2020
"Reverso del incentivo al ahorro contenido artículo 14 ter, letra C), para contribuyentes del régimen parcialmente integrado del artículo 14, letra B), de la Ley sobre Impuesto a la Renta.",1987,10/09/2020
Disolución y liquidación voluntaria de un fondo de inversión privado considerado sociedad anónima para efectos de la Ley sobre Impuesto a la Renta.,1982,09/09/2020
"Disolución y liquidación voluntaria de un fondo de inversión privado que, de acuerdo al artículo 10 transitorio de la Ley Única de Fondos, se considera sociedad anónima para efectos de la Ley sobre Impuesto a la Renta.",1981,09/09/2020
Cambio de régimen tributario de una sociedad extranjera producto del término de giro de un establecimiento permanente.,1876,31/08/2020
"Tratamiento tributario del pago de dividendos a los accionistas de una S.A. mediante transferencia de un activo fijo.
",1760,21/08/2020
Deducción del pago de intereses y reajustes por emisión de bonos para financiar el pago de dividendos.,1757,21/08/2020
Tratamiento tributario conforme a los artículos 107 y 110 de la Ley sobre Impuesto a la Renta y vigésimo sexto transitorio de la Ley N° 21.210.,1704,18/08/2020
"Acreditación de gastos a través de imágenes digitales de los respectivos comprobantes de pagos o desembolsos. 
",1645,13/08/2020
Solicita confirmar si es renta accesoria o complementaria un bono que otorgan a trabajadores de XXXXX.,1636,13/08/2020
Enajenación de acciones y reorganización de grupo empresarial internacional.,1628,11/08/2020
Evacúa informe sobre donaciones a municipios o gobiernos regionales que tienen o pueden tener interés al calificar proyectos ambientales.,1611,10/08/2020
"Aclaración del Oficio Nº 599, fecha 18.03.2020.",1534,07/08/2020
Tratamiento tributario de la cesión a título oneroso de contratos de promesa de compraventa sobre inmuebles.,1530,07/08/2020
"Solicita pronunciamiento sobre las donaciones acogidas al artículo 7 de la Ley N° 16.282, con motivo del COVID-19.",1529,07/08/2020
"Enajenación de bienes raíces de un fondo de inversión público disuelto y en liquidación.
",1513,06/08/2020
Efectos tributarios de una fusión inversa internacional y término de giro.,1511,06/08/2020
Rentabilidad generada por los fondos retirados de acuerdo a la Ley N° 21.284.,1503,05/08/2020
Enajenación de terreno agrícola retirado de la contabilidad de empresa individual y otros bienes registrados en la contabilidad de la misma empresa.,1483,03/08/2020
"Costo tributario de la primera enajenación de bienes raíces agrícolas, en el caso de agricultor que transitó desde el régimen de renta presunta al régimen de renta efectiva y la tasación comercial de los bienes enajenados fue efectuada hace más de tres años.",1482,03/08/2020
Tratamiento tributario de sumas entregadas a trabajadores cuyo contrato se haya suspendido conforme a la Ley N° 21.227.,1481,03/08/2020
Aplicación de normas de exceso de endeudamiento.,1475,31/07/2020
Consultas relacionadas con la tributación de los activos digitales o criptomonedas.,1474,31/07/2020
Opción de depreciación establecida en el artículo 31 N° 5 y 5 bis de la Ley sobre Impuesto a la Renta.,1412,24/07/2020
Posibilidad de optar por el régimen tributario Pro Pyme del artículo 14 letra D) de la LIR.,1407,23/07/2020
"Situación tributaria de intereses ordenados pagar por sentencia judicial, en juicio por infracción a la Ley N° 19.496.",1391,21/07/2020
"Hace presente omisión del proyecto de ley que establece un beneficio para los trabajadores independientes.
",1366,20/07/2020
"Aplicación del artículo 21 de la Ley sobre Impuesto a la Renta en el caso de contribuyentes acogidos a las disposiciones de la Ley N° 18.392, denominada Ley Navarino.",1365,20/07/2020
Devolución de retenciones por prestación de servicios profesionales que soportaron retenciones de impuestos en el exterior.,1344,17/07/2020
"Tributación de honorarios percibidos desde el exterior.
",1343,17/07/2020
Tratamiento tributario del mayor valor obtenido en la enajenación de bienes raíces fusionados.,1337,15/07/2020
Efectos tributarios de enajenación de bienes raíces agrícolas,1336,15/07/2020
